,Features,Coefficient
16,pos_sent_TA,-0.4659051950806884
34,BigWords,-0.4448889544826856
70,memory,-0.43352926276903203
110,need,-0.3817968966464389
88,family,-0.3404343367431268
40,i,-0.33399742250577763
173,Truth.Intensifier,-0.29970873942538656
165,Agreement,-0.2677896280378882
143,Hedges,-0.26539409354502475
101,relig,-0.2226291221946161
148,Formal.Title,-0.21893769483698422
17,sadness_TA,-0.20406321693494223
146,Filler.Pause,-0.18993369423385653
174,Affirmation,-0.15281518874276412
65,cause,-0.06088483901720365
152,For.Me,-0.043962814309330245
115,fatigue,-0.03602116139483051
105,wellness,-0.008330073501955915
14,joy_TA,0.011383574766614224
147,Informal.Title,0.044838715680751484
133,assent,0.06856722834514917
107,sexual,0.07258498029319183
12,disgust_TA,0.1278225503860691
130,focusfuture,0.1427740622783784
21,dominance..NRC._TA,0.16201308709156073
90,female,0.16940940885964278
134,nonflu,0.1993233837713663
112,acquire,0.2015627657437796
166,Disagreement,0.22903283505023914
109,death,0.2309579265425502
113,lack,0.23959274887553966
175,Adverb.Limiter,0.2565722495958712
0,fk_grade_level_TA,0.26055983870701116
104,illness,0.28550423435166095
62,allnone,0.32226600551990847
89,friend,0.3349000925317233
35,Dic,0.33696471584519305
91,male,0.35954072644737506
125,auditory,0.37340524201448866
116,reward,0.3749676429120626
135,filler,0.40503829918052525
18,surprise_TA,0.4064143864184051
111,want,0.4253624909901841
9,SENT_TA,0.42702690014059996
114,fulfill,0.4429688460467165
84,conflict,0.4463688257479196
118,curiosity,0.4465379035387926
68,certitude,0.45450719081125457
121,attention,0.4570776493202875
149,Could.You,0.47595129070145564
30,Clout,0.5494092859924159
47,article,0.5676951177858178
155,Reassurance,0.576194585058044
167,Acknowledgement,0.5907223779520974
169,Bare.Command,0.6102884141475761
13,fear_TA,0.6291126364176005
170,YesNo.Questions,0.6768655924575067
158,Hello,0.7081647543763009
119,allure,0.7098544050518693
98,home,0.7248144987075489
46,det,0.7264524054120935
32,Tone,0.7306182969036594
33,WPS,0.761531883542741
8,valence..EL._TA,0.7624185810274936
163,Positive.Emotion,1.0214992542185146
156,Ask.Agency,1.0282797747159496
83,polite,1.032258075622508
100,money,1.0617439002714266
66,discrep,1.071781409713383
49,prep,1.1087272591471327
52,conj,1.2130904373905547
59,achieve,1.2916452712251
161,First.Person.Single,1.3111708540508347
164,Negative.Emotion,1.3264324684676327
97,leisure,1.3727995385177647
120,Perception,1.5397251102039697
19,trust_TA,1.5921544756770678
55,adj,1.6042365987941045
6,emotionality_TA,1.6625251544298356
2,dominance..ANEW._TA,1.7434743623955664
80,Social,1.7532730936998207
102,Physical,1.7733713242206939
58,affiliation,1.7963016509371503
53,negate,1.8687849212883885
99,work,2.2290016967878805
82,prosocial,2.3782634509436433
85,moral,2.422595691201231
160,First.Person.Plural,2.5358566252444943
1,arousal..ANEW._TA,2.6271453739892845
31,Authentic,3.0341586848445217
54,verb,3.2563734674046882
131,Conversation,3.61206451994165
63,cogproc,3.709383277113694
60,power,3.9100047336572996
37,function.,3.9483267331548912
162,Second.Person,4.169780110942704
42,you,5.055210367769395
172,Apology,9.155557306496926
73,tone_neg,14.098798736028257
25,they_TA,23.34573585431047
74,emotion,25.000684654180002
38,pronoun,28.37982657201588
72,tone_pos,54.777670993003795
43,shehe,91.07642280183302
136,AllPunc,175.90994063721422
92,Culture,4846853537.286459
