Hotel,Rating,Review,Response,Trip type,Date of Stay,Responder,Responded date
The Garland,30,"We stayed The Garland upon arriving into Los Angeles as part of our honeymoon. When we arrived at the hotel, we were greeted by friendly reception staff and given the key to our room. The room was clean and tidy but quite small, especially the bathroom space. The annoying thing with the hotel, is that you can hear people closing doors and being in the corridors early in the morning.We took advantage of the shuttle between the hotel and the metro station/Universal Studios, which is all complimentary. It is about a 10-15 minute walk to the metro station, which we did several times. There is also a shopping complex up the road where you can purchase snacks etc.Would I stay here if I came back, probably not, as I think that I would like to be a bit more centrally located.",Mrs Perth:Congratulations on your Honeymoon! Thanks for your review and feedback as we'll be sharing it with our staff. I am sorry about the early noises but I am glad that you encountered friendly staff. We hope you come back to The Garland in the near future so we can make things right for you. Warm regards!,Trip type: Traveled as a couple,Date of stay: March 2019,"Response from Daniel M, Manager at The Garland","Responded Apr 4, 2019"
The Garland,30,"We picked this location as it was close to Universal Studios. However unless you drive it is quite out of the way for everything. The rooms were nice, but i did not like staying in the lower level as people from the carpark could see right in. It was also very hard to get any water, we often had to go to the restaurant to get water. Most places we have stayed at least have a water fountain. We asked for something to be brought to the room and it took rather long when we were waiting to go out.The pool also closed quite early. Think we would prefer to stay at a proper hotel next time.","Dear Kittyy0411,Thank you for giving us the opportunity to host you in LA. We are saddened to know we did not meet your expectations and wished we had the chance to address some concerns while you were on property. Unfortunately, we do not have drinking fountains located on our facility, which means the request had to be fulfilled by our kitchen. We apologize for the delay in providing your request and will review our service delivery times with our culinary team. Again, we appreciate your time in providing us your feedback and hope you enjoyed your time in LA. Safe travels.",Trip type: Traveled as a couple,Date of stay: March 2019,"Response from DarinM167, Manager at The Garland","Responded Mar 24, 2019"
The Garland,20,We decided to stay at this hotel as our main purpose of our visit was to spend time at universal studios. I noticed on the website that they had a shuttle that would take you to universal studios I knew this would be really helpful for me and my son. I’ve booked the hotel on this basis. The first night we had a room which was based across the highway the noise was terrible and I hardly got any sleep the next morning I complained about this and they helpfully moved us to a room with less noise the next day. There was gym facilities and a restaurant on site. Overall as we were sightseeing and we also factored in a trip to Vegas meant that we did not have much dealings with the hotel staff.The only thing I would mention was on the day of arrival the receptionist told me that they would keep a $400 retainer on my credit card I did at that point thought that was quite high. On our day of departure a couple checked in and they were told that they would be charged $100 retainer on their card. Was slightly offended that I was charged more and at that point as we were leaving I didn’t care. Obviously they must’ve thought I was some kind of trampy hotel guest. On this basis I would say they have a unfair policy and wouldn’t return.,"Dear affy1979,Thank you for choosing to stay with us and for providing us your feedback. We are saddened to hear about the miscommunication or misunderstanding. Like many hotels, we do authorize for incidentals and, in this case, the hotel does require to authorize $100/night which is released after the guest's departure. In general, hotels authorize for incidentals so guest can enjoy and change many of the amenities on property, like the restaurant, bar, minbar, pool bar, and gift shop to their rooms. Again, we apologize for any type of misunderstanding when we authorize $100 per night. We hope this did not impact your holiday to other locations.",,Date of stay: February 2019,"Response from DarinM167, Manager at The Garland","Responded Mar 24, 2019"
The Garland,30,"Stay for three nights at The Garland. The hotel lobby was beautiful with a nice fireplace. Room was quiet, big, clean with a nice balcony but didn't use the balcony as the sliding door doesn't seems to be working. Encountered a power outage during one of the night but it was quickly resolved. The parking charges was 25 dollars, before tax, per night for self parking at a safe parking location, right in front of the room. The hotel staff are all very friendly and we like the free shuttle to and from Universal Studios. The hotel WiFi is free but extremely slow, have to rely on my mobile data plan for the three nights. Overall, it was a nice stay at the location we wanted but don't feel it was value for the money.","Dear davelim3058,Thank you for giving us an opportunity to earn your business. We are saddened you did not feel value in your stay. We wish you had the opportunity to join us for one or any of our activities we offer, like dive n movies, yoga, California beer tasting, etc. We apologize if the WiFi was not working properly. The hotel offers a larger bandwidth of nearly 3 times faster than the average complimentary WiFi. Had we known, we would have reset your room's router to ensure you could navigate, search and stream properly. Again, thank you for your feedback. We hope we have another opportunity to earn your business.",,Date of stay: March 2019,"Response from DarinM167, Manager at The Garland","Responded Mar 18, 2019"
The Garland,30,"Great location, good staff.’Shabby chic’ is best left to Soho House and the Chateau Marmont. This hotel is just a little shabby. Not particularly clean.WiFi is so slow it’s almost unusable...certainly not strong enough for work purposes.If you are english you’ll know what I mean when I say.....think tired Premier Inn mixed with Sainsbury’s decor from the 80’s.Very poor noise insulation from other rooms in all directions....","Dear kramsitruc,Thank you for choosing to stay with us during your holiday. We are saddened to read about your issues with your recent stay and overall sentiment with the hotel's design and decor. The hotel attempts to provide a guest alternative, classic, yet modern retro-California style accommodations. We appreciate your feedback and will certainly go through our property to make sure that our guests are provided a clean and comfortable place to call their LA home. We hope the remainder of your holiday was splendid! Safe Travels!",Trip type: Traveled with family,Date of stay: February 2019,"Response from DarinM167, Manager at The Garland","Responded Feb 24, 2019"
The Garland,30,"Do not eat or drink at this hotel.!! The hotel is beautiful and the rooms are very nice but the food and drink is an absolute joke and I was disgusted at some of the prices.! I ordered 2 portions of fries to the room and was charged $20 I mean honestly come on this is just a cash grab, a “glass” of pilsner not a pint but a glass cost $11...!! This is a disgrace and at this point I stopped ordering any food or drink from the hotel and ate out. Go to a local supermarket for drinks and fill the fridge in your room, save your money for trips out.","Dear deanm902017,Thank you for choosing to stay with us and providing your feedback. We are disappointed we were not able to connect with you while you were staying with us; we left you several messages in your room, hoping to see if we can turn your impressions around. In general, at hotels, in-room dining tends to appear a little more pricier than simply going to the restaurant to dine in or just pick up due to the fact when the check is presented the delivery and service charges have already been added to the check. Again, we wish we had the opportunity to speak with you during your stay to see how we can provide you a better overall experience. We hope we made you feel welcomed and comfortable while you made The Garland you home in LA. Safe Travels!",Trip type: Traveled with family,Date of stay: February 2019,"Response from DarinM167, Manager at The Garland","Responded Feb 23, 2019"
The Garland,30,"I really wanted to love this place. The common areas have a great feel and the restaurant was great. But we had some room comfort issues that would make me hesitate to come back. We had a 2 queen room and the room faced the freeway. The sliding door could be opened but the noise deafening. To keep the room from being stuffy, we had to run the AC but the unit is right next to the bed and blows freezing air on the people in it. I tried to build a wall of pillows to block the breeze. If 2 people had been in the bed, the other would have been miserable. Also the alarm clock went off at 6:30 am even though I'd checked that it was off. Couldn't figure out how to shut off the alarm so turned the volume down. My brother rented a king room and his closet had a nasty smell in the carpet. We used the hot tub but the water was murky and not very hot. If I come back, I'll be really picky about what room they give me.","Dear snazzymama,Thank you for taking the time to provide us your feedback. We are delighted to see that we may have an opportunity to make sure you have a wonderful experience. We apologize we did not meet those expectations. Please let me know if you plan to be in the area again, the hotel looks forward to turning your satisfactory impression of us to an exceptional impression. You may connect with me at hello@thegarland.com. I look forward to hearing from you soon.",Trip type: Traveled with family,Date of stay: January 2019,"Response from DarinM167, Manager at The Garland","Responded Feb 4, 2019"
The Garland,30,"I spent two nights and found the hotel very clean and comfortable. Great and helpful staff. However, my room was facing the freeway and therefore the noise was really bad. The restaurant was quite overpriced for a not so good breakfast.","Dear P4453IFraquelm,We appreciate your business and your time in providing us your feedback. It was a pleasure having you with us. Hopefully we have another opportunity to earn you business and exceed your expectations.",Trip type: Traveled on business,Date of stay: January 2019,"Response from DarinM167, Manager at The Garland","Responded Jan 23, 2019"
The Garland,30,"just spent 2 weeks at the garland hotel with my best friend.this was a special holiday with i felt was ruined.i found the staff very unhelpful and on the second day we got attacked by the head waiter on drinking to much alcohol then he told us to go to our room as though we had done something wrong,he didn`t even apologise after this situuation.which makes me wonder if he will repeat this act again to someone else.also i would not recommend anyone to stay at this hotel because food and drink is to expensive everyday if u don`t have bed or breakfast/half board included with the holiday then u will struggle.also the staff was not very helpful with our transfers we had to put our foot down to find a solution..the rooms are nice and hot spa and swimming pool nice and also decor. there is very limited cafes or restaurants in the area so u have to use the free trolley bus outside to get anything.the metro is quite handy as it takes u anywhere in los angeles where u want to go with more choice and variety.there is alot of homeless people sleeping rough so beware.the must see things to do is universal studios,warner brothers if u r a big tv and movie buff also the getty museum hollywood walk of fame and china townt and beverley hills celebrity homes is well worth a visit.would only recommend staying at this hotel a few days to a week as it in no mans land off a freeway","Dear 312 timeb,Thank you for choosing to stay with us and happy belated birthday. We are disappointed and saddened we could not exceed your expectations for such a wonderful occasion as your 50th birthday; marred by difficulties with your transportation and dining experience. Our concierge did offer to find alternative transportation as well as follow up with your travel agency as well as the transport company as there was an issue with confirmations/payment between the two parties. Unfortunately, the initial option you requested us to find a solution which did not incur a cost should your travel agent and transport company did not find come to a resolution would have been impossible for us to find. We are pleased to know our concierge was able to coordinate and communicate with both companies to get you back to the airport with little further confusion or issue. As for your dining experience, ee are shocked and apologize by how we communicated and how we made you feel. We want all of our guests and patrons to feel comfortable and welcomed. It is clear we did the opposite. And although, we do make mistakes, the restaurant has a duty of care to monitor consumption of alcoholic beverages; especially those menu options which are bottomless. We hope you understand and we will make sure we are better in the future about our approach and tactfulness. Again, thank you for joining us. We hope the rest of your celebration holiday exceeded all your expectations. We appreciate your feedback and have shared it with our team so that we can continue to grow our service and product.",,Date of stay: December 2018,"Response from DarinM167, Manager at The Garland","Responded Jan 10, 2019"
The Garland,10,"If you are considering staying at this hotel - don’t! It is basically a Motel 6 with a fresh coat of paint and some mid century decor. We had a terrible nights sleep. The rooms are noisy. We could hear the guests above. Every time they moved, it made the headboard bang against the wall. The AC was so loud, we had to shut it off. There was also an annoying humming sound that kept us up all night. We were notified that there would be no hot water when we checked in. We agreed that this would be ok as we did not need to shower. However, when we went to get ready for the event we were going to, we realized there was no water at all! There is a big difference between no hot water and no water! When we complained to the front desk they barely compensated us. We still ended up spending almost $400 for one night in a glorified motel 6. What an unpleasant experience & waste of money!","Dear PandaLola,Thank you for staying with us during your trip up to LA. We are disappointed that your stay was less than perfect with us. The team at the hotel does our best to provide options to accommodate requests just like yours. You were granted an early check-in and the opportunity to stay in the building that was not affected by the water, but you chose otherwise. Once again, we are sorry that the project did not go as planned. At the end of the day we want everyone to feel at home, and just like at home, sometimes things do not go always go as planned. We appreciate your feedback and giving us the opportunity to make it right for you. We would hope to welcome you back the next time you come up to LA and give you a true Garland experience that others enjoy.",Trip type: Traveled with family,Date of stay: December 2018,"Response from danielmJ2344IK, Hotel Manager at The Garland","Responded Jan 5, 2019"
The Garland,30,"Stayed here with my husband and kids during our vacation to Universal Studios & Disneyland. The experience was...schizophrenic. There was a lot of “wow, the Christmas lights and fireplace are so cool in the lobby!” to “is this where we’re sleeping?! Is this stil the same hotel, it looks like a weird outdated dorm complex that’s not connected to the lobby”. Or, “the courtyard is so cool and look at that lady reading in the cabana or those guys playing fooseball!” to “the room looks a little like a prison cell. Are those cinder block walls?!”So here’s a quick breakdown of The Garland and our experience:Pros:- great central location to Universal Studios. Complimentary trolley/shuttle to and from Universal Citywalk on the hour, every hour that we used on the first night. For the days we didn’t want to wait, we called a Lyft and it was less than a $10 one way ride for 4 people total.- exterior at night is beautiful and has an old Hollywood magical feel. Lobby is warm, inviting and eclectic and the inner courtyard is such a nice common area for guest to hang out (fooseball table, sitting areas, lights).- super friendly and helpful staffCons:- our room felt outdated and was the description of mid century modern. Super modern bathroom but not very user friendly in design (below). Main sleeping area felt like my grandparents 1970s house- funky orange print and cinder block walls.- “hotel” is older but felt like it was more like an apartment complex with a nice boutique hotel lobby. Could tell they renovated certain areas to bring up to date but left other areas as-is.- again, I know this was a retro hotel but the elevator is probably original to the place. Really slow and always full when it stopped on our floor 😑- shower pressure was 9/10 BUT the temperature was lukewarm at the hottest setting. After long days walking, I was hoping for a hot shower and was disappointed both nights we were there with the tepid water.- bathroom is modern and updated but had a weird half shower without a door and a little “porthole”...? With the tepid water temperature, the heat didn’t stay enclosed and I was cold as I was showering. Very weird.- Noise: not inside the hotel but outside. Our room was literally next to the freeway separated by a parking lot that had car alarms going off all night. I woke up the first night at 4am from car alarms going off non-stop.Overall was a good experience but not the most comfortable hotel. We literally only slept there because we were out all day so was disappointed that the time we were inside wasn’t as relaxing.","Dear momof3dragons,Thank you for choosing to stay with us. We appreciate your kind words and your feedback. We apologize our rooms did not meet your expectations. Although, we did fully renovate the rooms a couple of years ago, we kept a couple of features that were unique and authentic to the hotel's original design which compliments our mission style, 1970s California influenced appeal.",Trip type: Traveled with family,Date of stay: December 2018,"Response from DarinM167, Manager at The Garland","Responded Jan 6, 2019"
The Garland,20,"A nice hotel if you just want to visit universal studio and relax by the pool, not good for downtown or the airports as taxis are really costly, the room we stayed in was very noisy due to the road traffic also noise from the outside corridor.The staff in the shop were very helpful but the managers on the desks seemed impersonalWe had wanted a late checkout but the cost for extending it by 2 Hours was 70 Dollars which I thought a little expensive and did not give us sufficient time, the bellboy did however store our luggage.There is no courtesy room for you to use if you have to catch a late flight","Dear Susan S,Thank you for choosing to stay with us. We appreciate your feedback and are saddened we did not meet your expectations. We pride ourselves on personalized and genuine service and it is disappointing to learn we did not give you that impression . And although we apologize we did not have late check out available for your departure, we are delighted to know we were able to accommodate your complimentary early arrival and get you into your room 4 hours prior to our check in time. We try and balance our guests arrival as well as departure experience. On the date of your departure, we were fully committed that day. Anyway, we hope you enjoyed your time in Los Angeles. Safe Travels!",Trip type: Traveled as a couple,Date of stay: December 2018,"Response from DarinM167, Manager at The Garland","Responded Dec 16, 2018"
The Garland,30,"Great little boutique hotel...on paper. Great location to Universal, kid and pet friendly, relaxed vibe overall. Friendly staff and clean, well manicured property. HOWEVER don't plan to actually sleep at this hotel as noise levels from the street will keep you up all hours but assuming you can ignore this, as many can in big cities, good luck in ignoring every single word ( and activity) of the folks on either side of you at least til the wee hours of the morning! I have two young kids, impossible to get them to sleep and enjoy a quiet glass of wine as the walls are literally like paper. As such kids kept up, mom kept up, no relaxing beverage at end of long day...no relaxed, happy parents after a night spent with two unhappy tired kids. Would never come back here for this reason...if I cannot relax in relatvie peace at the end of a long day then seriously what is the point?? Huge shame, huge disappointment. Really only have two requirements for a ""good"" hotel...clean rooms/grounds and quiet at least from the point of view of room to room quiet. Huge fail at the Garland on this.","Dear TMarie08,We are saddened and disappointed we did make you feel comfortable during your stay. We wish we had the opportunity to assist you while you were on property to address your concerns. We alway like to see what we can do to turn our guests negative experience around. Should you need to travel in the area, we would truly appreciate the opportunity to host you again. Please contact me directly at hello@thegarland.com. I hope to hear from you soon.",Trip type: Traveled with family,Date of stay: November 2018,"Response from DarinM167, Manager at The Garland","Responded Nov 14, 2018"
The Garland,30,"Good aesthetic to the hotel and very instagramable decor. The minus points are definitely some of the customer service. On face value it's all very polite but if an issue needs to be raised you'll get a very contrasting response. Room service food arrived late and stone cold to which the staff weren't bothered about at all neither did they even apologise or try to rectify the situation. Food ordered by the pool was covered in rock salt and almost inedible. Drinks are advertised via social media in glasses by the pool which isn't the case, a shame as it makes it feel less special. Last word of warning try and get a room that isn't facing the freeway as it is so loud! Especially at night. Overall food is quite expensive and you're better off walking to Ralph's supermarket for light bites or looking at restaurants elsewhere. All things considered it is a nice hotel with a nice pool and really useful shuttles to Universal and City walk.","Dear Livmccullough,Thank you for taking the time to share your feedback with us. We are disappointed our staff did not take the initiative and opportunity to see how the hotel could recover from the service issue. We will continue to use our guests' feedback to grow our teams response to provide exceptional service. We hope we will have the opportunity to show you we do care and listen to our guests' feedback. Should you be in the area and want to give us another chance, please feel free to contact me directly at hello@thegarland.com. We would love the opportunity to welcome you back!",Trip type: Traveled as a couple,Date of stay: October 2018,"Response from DarinM167, Manager at The Garland","Responded Nov 10, 2018"
The Garland,30,"Hotel looks lovely on instagram however it can be a bit misleading on some pics. On arrival the hotel, main areas, and pool are really nice. Our room was at the back and was noisy due to the main roads by the car park which is what you overlook. I would avoid these rooms if you are a light sleeper.First night ordered room service and was totally cold upon arrival. Not what you expect for the price. Food at hotel is expensive so I would recommend going out the hotel and left for a 5 min walk to Ralph’s supermarket which serves hot meals to take away which are cheap and has a Starbucks and Chinese there. Also get the trolley to citywalk lots to choose from.One morning we needed to get breakfast at hotel and called for room Service as we didn’t have long. Called to see if it was busy and she said no. Explained that we ordered room service other day and it was cold. She replied to say ‘oh well they must have been busy that day’. Again not great response. We decided to go eat at the restaurant and the Buffet breakfast was good cost $19.The pictures show you having cocktails in a glass at the pool on Instagram but that isn’t what you get in reality. Plastic cups for $12 a drink. Pool food average but the pool area is nice to relax in.Customer service friendly until you actually want them to do something and then it seems to go a bit downhill.Take advantage of the free trolley service to universal and city walk. This is a great plus of the hotel.Overall hotel is lovely on arrival and great for universal.","Dear Perky28,Thank you for taking the time to share your feedback with us. We are disappointed our staff did not take the initiative and opportunity to see how the hotel could recover from the service issue. We will continue to use our guests' feedback to grow our teams response to provide exceptional service. We hope we will have the opportunity to show you we do care and listen to our guests' feedback. Should you be in the area and want to give us another chance, please feel free to contact me directly at hello@thegarland.com. We would love the opportunity to welcome you back!",Trip type: Traveled as a couple,Date of stay: October 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 28, 2018"
The Garland,30,"This hotel rated as 4-star but it's like a 3-star standard, the hotel advertised they have a nice garden and their own cinema within the hotel so guests can enjoy watching movies but I was so disappointed to find that the nice garden was locked up, it's only for wedding NOT for guests to relax in and the cinema is only available as a package with special dinner purchased - you need to pay for the special dinner and the cinema. The cinema is NOT for guests to enjoy watching movies free of charge.The room we stayed in is near the highway, although there's balcony but you can't sit out there at all, it's so noisy with traffic all day, even at night and early morning, even with the door shut you can still hear the noisy traffic.The only good thing about this hotel is they have free bus to Universal Studio.","Dear DaisyUK2016,Thank you for choosing to stay with us. We are disappointed you feel we did not meet your expectations and felt that we mislead you to believe the park and theater are available at all times. Although, our park is mainly used as an event space, we do host complimentary yoga or mat pilates sessions for our guests on specific dates and times. We have also host a concert series, with live music and food and drinks for purchase. As for the theater, we offer a paid family style dinner and movie night through The Front Yard restaurant that is open to the general public to purchase. For our guests, we exclusively offer dive n movies at the pool on Fridays and Saturdays evenings. We are saddened you didn't choose to join us for some of the above or many other daily activities/programs we offered during your stay. Again, we appreciate your business and hope you enjoyed the remainder of your holiday. Safe Travels!",,Date of stay: April 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 16, 2018"
The Garland,30,"This is hotel is nothing special. It is clean and they are pretty nice at the front desk. That being said, I reserved a king room, paid for a king room and got a queen with bunk beds. We switched rooms the next day.","Thank you for choosing to stay with us. We apologize, due to some unforeseen circumstances, we were not able to provide you the room type bed you had reserved. We understand there was a level of expectation when you booked that we were unfortunately not able to meet the first night. However, we hope you enjoyed the premier suite upgrade for the remainder of your stay. If your travels bring you back to LA and are willing to give us another opportunity to get it right, please contact me directly at hello@thegarland.com. We look forward to turning your impressions around. Thank you!",,Date of stay: March 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 16, 2018"
The Garland,30,"We stayed here for 2 nights as part of our honeymoon trip organised by Trailfinders. The location is great for visiting Universal Studios, Griffith Observatory, or getting the Metro to Hollywood Boulevard and beyond. The hotel provides a complimentary return shuttle bus service on a lovely retro style bus from early morning to late afternoon. This is a fantastic service for guests, and if you plan to visit Universal Studios, then I would recommend this hotel for location alone.The hotel has a lovely retro vibe, and the decor in the rooms was bright and relaxing. The room and bathroom facilities were nice and clean. There is no iron in the room, maybe you can request one if needed.The hotel is located right beside the freeway, and we were on the 6th floor looking over the courtyard/pool area and directly beyond this is the freeway. It was quite noisy early in the morning, and difficult to return to sleep. The A/C was also quite noisy.There was also no complimentary bottled water, which was a pity. However, there is a mini-fridge though, and Ralph's grocery store is only a few blocks away if you want to buy water and snacks.We only had drinks at the bar, so cannot vouch for the breakfast buffet or restaurant.The pool area is lovely and relaxing, and in the evening there was a lovely atmosphere. There were quite a few families with children, so the hotel definitely caters for family trips.We had a lovely check-in experience with one of the ladies at reception, and she was very helpful letting us know what we could visit nearby and what transport arrangements to make.Altogether, location and service meant that we enjoyed our stay at The Garland. If we return to LA again and wish to stay in the North Hollywood area, I would definitely return to the hotel.","Dear Cabaistehead,Firstly, congratulations! Thank you for choosing to stay with us during such a special trip. We hope we were able to positively add to the honeymoon experience. We look forward to your next trip to LA and can't wait to welcome you back!",Trip type: Traveled as a couple,Date of stay: October 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 14, 2018"
The Garland,30,"I stayed at the Garland for a weekend in LA with my nine year old daughter. The hotel is adorable and a cool 70’s California vibe. Great decor touches and just what I was looking for. The hotel is right off on 101 and easy to hop on and off to get places. The pool was nice and the food was really good! Had the short rib tacos for room service one evening and they were so great! So, why the average rating? Well, there were a few issues. First, when we checked in (early, which was great), we got to the room and when we opened the door someone was painting inside. Didn’t love being in a room with paint smell initially. The TV was not working so we called someone and they were unable to fix it right away. I asked them to come back later since I felt uncomfortable standing there while the person was on hold with the cable provider. Finally, on our last night I heard a small knock at the door and before I could get up and go answer the door opened and someone walked in. There really needs to be some procedural changes made on all of the above to make a female guest feel more comfortable.Aside from the negatives, we loved the little hotel and its charm. I did have really high expectations for the price and I would say it met our expectations overall with some strong positives and the things The Garland should improve.","Dear 484kristinap,Thank you for choosing to stay with us. We apologize for the issues you experienced. We appreciate you letting us know and for giving us the opportunity to make the proper adjustments. We have been reviewing your comments and our standard procedures with our associates to make sure our guests always feel welcomed and comfortable during their stay. We hope we have an opportunity to show you that the hotel service is equal to the product we present our guests. Please feel free to reach out to me directly for any future reservations at hell@thegarland.com. We know we can exceed your expectations.",Trip type: Traveled with family,Date of stay: October 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 7, 2018"
The Garland,10,"While we had previously stayed at The Garland, the lack of concern for guests who repeatedly informed the staff about the offensive smell of marijuana in the hallway and adjoining room was an overall disappointment. The air conditioner in our room could not be utilized during our stay because the smell of marijuana was in the ventilation system.We were somewhat surprised when in essence all that was suggested was to spray the hallway and room with air freshener to combat the odor. We also found it peculiar that my husband was able to run a bar tab by providing our room number. I was told I needed to provide a credit card instead of our room number at the exact same bar.Staying at The Garland Hotel was an overall disappointment.","Dear brooke3times,Thank you for taking the time to provide your feedback. We are disappointed we did not meet your expectations and we failed to make sure you and your family had comfortable accommodations. We try to provide smoke-free hotel and do our best in curbing that sort of behavior while on property. Clearly, there was an opportunity do better to make sure you felt like we were doing more than spraying the area. If you have a moment, I would like the opportunity to connect directly with you, please contact me at hello@thegarland.com. I look forward to hearing from you soon.",Trip type: Traveled with family,Date of stay: September 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 7, 2018"
The Garland,30,"This hotel is really nice in terms of ambiance, location, and service but just okay in many other aspects. For $270 a night, the hotel quality of room is pretty average. The bed feels somewhat cheap (not very firm or particularly comfortable) and the room is pretty small. The bathroom shower overflows and gets water all over the ground outside it due to there being no door or curtain to close as an option. The restaurant charges a service fee of 12% on everything and you have to tip on top of that, so for example we ate there for convenience a few nights before going out for the night/day, and a two beers plus two chicken Caesar wraps were $70 after tip. Two burgers and two drinks was $60 after tip another night. The pool is nice and the overall aesthetic is very cool, but it just seems like they should offer more affordable options for quick bites and drinks instead of making things priced so high. This was pretty overpowering on my outlook. The parking lot was full with no spots available one day due to an event that was going on, and I had purchased a 5 night pass for $25 a day. I had to park along the curb for the day, which isn’t great since I already paid for parking. For these reasons, I give The Garland a 3 star review. If the prices were changed to include more affordable quick bites and meals, the shower and room/bed situation was changed, and other slight improvements it would easily be a 4 star for me. Overall good stay, just nothing crazy.","Dear Ryan D,Thank you for choosing to stay with us. When you have a moment, we would like to connect with you directly before you depart the hotel. We know we have a few days to turnaround your average experience and want to make sure we finish your trip on a positive note. Please stop by the front desk or email me directly at hello@thegarland.com. In regards to the 12% service charge, it is apart of gratuity. In the past couple of years, Los Angeles ordinance has required hotels to provide ""living wage"" to our associates. The service charge is 100% distributed to the wonderful associates whom serve and prepare your food. Again, thank you for staying with us. We hope to hear from you soon.",Trip type: Traveled as a couple,Date of stay: October 2018,"Response from DarinM167, Manager at The Garland","Responded Oct 1, 2018"
The Garland,20,"It’s one of those which I can’t say a lot for or against so will work throughLocation - great for universal studios and a free shuttle providedHotel - it looks and feels like a done up motel nothing special something aesthetically pleasing out the front and then naff elsewhereRoom - nice decor and good shower, balcony door pain to closeBed - awful !Pool - nice pool / hot tubParking - not free and $20/ day If I remember correctlyBreakfast - none includedOverall - just felt like they’re trying to get every penny out of you. $6 for a bottle of water ?!? $20 for parking - Seriously Garland ?!? And that’s on top of expensive room pricesI didn’t try the food but that’s because of the price and there are so many choices in LAIf I didn’t feel like I was being milked dry of cash I’d give it a higher scoreIn honesty don’t think I’d go back","Dear philios13,We are disappointed we did not meet your expectations and ultimately, was not in the style of hotel you prefer and typically travel to. We are an independent hotel that strives to provide our guests an uniquely authentic Southern Californian experience. We encourage our guests to spend time on property to enjoy the atmosphere, amenities and activities we offer daily. Like most hotels, we do charge for consumption of food and beverages, minibar, and parking; but unlike many hotels we also add value by offering a complimentary services like a daily trolley to Universal Studios and the Metro, yoga sessions, personal trainer, movies at the pool, just to name a few. Additionally, our guests don’t need to travel off property to enjoy a premium dining experience; The Front Yard is ranked in the top 1% of all restaurants in Los Angeles. Ultimately, we apologize that we were not the right choice for you and we did not offer what you prioritize when traveling like free parking, free minibar and free breakfast. We are comfortable offering our guests value through premium experiences, service and attention to details. We wish you also saw value in what we offer you and our other guests as something more than “meh.” We appreciate your business and hope you enjoyed the rest of your travels.",Trip type: Traveled as a couple,Date of stay: September 2018,"Response from Daniel M, Manager at The Garland","Responded Sep 27, 2018"
The Garland,30,"The location was fantastic, the food at the Front Yard was good, the Rose Spritzer was tasty & refreshing and the fastest elevators ever. However, I was disappointed with the overall stay, for several reasons.CLEANLINESS: When I checked in, there was a bug in my first room. I was moved, however, it did very little improve my comfort level in any room at the hotel. Bugs in the hotel are probably not the norm, however, there was no follow up from management regarding my experience. Suggestion: If someone has a bad experience there should be some sort of follow up with that customer. It doesn't happen all the time, but it should. That start gave me little confidence in the hotel as a whole.SLEEP QUALITY: The beds are very comfortable, however, the walls are paper thin. I could hear almost everything in the rooms next to me and from the hallway. The air conditioner was also very loud in our room, so getting to sleep was tough.SERVICE: I went to the bar 3 times. Each time with at least two people behind the bar and 2-3 people at the bar, I waited what seemed an unnecessary amount of time without being acknowledged. I have been in hospitality positions before, and even if I was helping other customers, it takes nothing to say I will be right with you in passing. Just my feedback as a frequent traveler.","Dear Whome88,Thank you for sharing your feedback as there was clearly some opportunities for us to provide better service. I would like the opportunity to hear more about your stay and perhaps convince you we are better than the above review. Please email me at hello@thegarland.com. I hope to hear from you soon!",Trip type: Traveled on business,Date of stay: September 2018,"Response from DarinM167, Manager at The Garland","Responded Sep 20, 2018"
The Garland,30,"I recently stayed at The Garland and had an OK experience. I’ll just give a very quick outline below for easy reading.staff: friendly, polite and quick to respond; however due to the constraints of the hotel for the evening I stayed.Trolley: convenient! There’s a schedule right on site, takes you right to universal.Room: funky and fresh decor, very clean. I was unhappy with facing the courtyard/parking lot but from reading other posts, facing the back of the building would mean hearing noise from the freeway. The only upset was the air conditioner. In my particular room, it was so old and definitely needed to be replaced. I could hardly sleep from the constant noise humming from this thing. As they were hosting a huge conference onsite, there was no way to change my room. That was a bummer, especially because I was there to celebrate my birthday.Overall: I would stay again for the convenience of being so close to universal only if I called in advance to learn whether or not they are hosting a conference during the time of my stay. This way if my room had a noisy AC, I could move.","Dear PieceofPiee,Thank you for taking the time to review your recent stay at The Garland and for giving the readers your feedback on your experience. We are pleased to know you would stay with us again. Should you want to reach out to me directly at hello@thegarland.com, I would be more than happy to assist you with making sure you had a wonderful stay. I look forward to hearing from you soon!",Trip type: Traveled as a couple,Date of stay: September 2018,"Response from DarinM167, Manager at The Garland","Responded Sep 20, 2018"
